src_ip,dst_ip,duration,src_bytes,dst_bytes,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,http_response_body_len
10.0.2.16,224.0.0.252,421.847236,256,0,0,4,120,0,0,0
10.0.2.2,10.0.2.16,421.756746,276,0,0,3,114,0,0,0
10.0.2.16,8.8.8.8,6059.841941,755,1209,0,10,415,10,869,0
10.0.2.16,193.45.10.144,0.279820,379,453,0,5,209,5,283,276
10.0.2.16,66.235.184.138,326900.751348,98896,14600,0,494,82100,108,10928,0
10.0.2.16,66.148.64.18,326912.647813,178570,82676,0,845,149840,544,64180,0
10.0.2.16,66.148.80.28,324963.028112,12964,0,0,60,10924,0,0,0
10.0.2.16,66.148.64.18,326890.128258,18950,0,0,293,8988,0,0,0
10.0.2.16,66.36.230.86,326925.075291,94654,14052,0,482,78266,104,10516,0
10.0.2.16,194.94.127.98,326937.557171,220020,113976,0,1024,185204,844,85280,0
10.0.2.16,195.169.125.228,326968.130297,152904,83510,0,685,129614,542,65082,0
10.0.2.16,111.240.194.123,324961.748695,8291,0,0,40,6931,0,0,0
10.0.2.16,115.69.241.182,324964.936711,8488,0,0,40,7128,0,0,0
10.0.2.16,111.242.171.190,324963.154527,8069,0,0,40,6709,0,0,0
10.0.2.16,178.91.32.168,324966.439522,9191,0,0,40,7831,0,0,0
10.0.2.16,88.87.244.16,324966.319279,8677,0,0,40,7317,0,0,0
10.0.2.16,123.240.194.78,324964.106112,8546,0,0,40,7186,0,0,0
10.0.2.16,84.2.155.234,324967.140642,8163,0,0,40,6803,0,0,0
10.0.2.16,113.252.247.200,324967.530796,8160,0,0,40,6800,0,0,0
10.0.2.16,89.41.100.12,324970.214838,7982,0,0,40,6622,0,0,0
10.0.2.16,187.19.218.40,324970.304773,8787,0,0,40,7427,0,0,0
187.19.218.40,10.0.2.16,49499.061195,1234,0,0,5,1064,0,0,0
10.0.2.16,95.57.211.247,324969.613610,8454,0,0,40,7094,0,0,0
95.57.211.247,10.0.2.16,243658.905506,4260,0,0,19,3614,0,0,0
10.0.2.16,62.5.128.33,324969.172974,27518,0,0,125,23268,0,0,0
10.0.2.16,10.0.2.255,1.501463,276,0,0,3,174,0,0,0
10.0.2.16,173.194.70.106,326815.228914,169959,400317,0,1565,116749,1588,346325,395006
10.0.2.16,173.194.70.94,326815.143088,153176,492288,0,1260,110336,954,459852,500800
10.0.2.16,195.169.125.228,323023.809114,9118,0,0,141,4324,0,0,0
10.0.2.16,194.94.127.98,309500.734794,11640,0,0,180,5520,0,0,0
111.242.171.190,10.0.2.16,252142.422388,6638,0,0,29,5652,0,0,0
10.0.2.16,66.235.168.5,271293.269803,30376,4854,0,149,25310,36,3630,0
10.0.2.16,66.235.190.17,259844.407974,1239,0,0,6,1035,0,0,0
66.235.190.17,10.0.2.16,259844.418542,1407,0,0,6,1203,0,0,0
10.0.2.16,66.36.228.41,259842.385265,1288,0,0,7,1050,0,0,0
66.36.228.41,10.0.2.16,259842.388753,1484,0,0,7,1246,0,0,0
115.69.240.13,10.0.2.16,73469.894568,972,0,0,4,836,0,0,0
111.240.194.123,10.0.2.16,0.000000,183,0,0,1,149,0,0,0
223.19.48.1,10.0.2.16,0.000000,281,0,0,1,247,0,0,0
113.252.247.200,10.0.2.16,0.000000,135,0,0,1,101,0,0,0
