duration,src_bytes,dst_bytes,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,http_response_body_len
16.384793,774,0,0,9,468,0,0,0
12.017220,198,0,0,3,96,0,0,0
12.017300,198,0,0,3,96,0,0,0
6.047488,124,0,0,2,56,0,0,0
6.047246,124,0,0,2,56,0,0,0
6.047053,124,0,0,2,56,0,0,0
6.047018,124,0,0,2,56,0,0,0
6.046982,124,0,0,2,56,0,0,0
6.046970,124,0,0,2,56,0,0,0
6.046967,124,0,0,2,56,0,0,0
6.046762,124,0,0,2,56,0,0,0
6.046757,124,0,0,2,56,0,0,0
6.046765,124,0,0,2,56,0,0,0
6.046772,124,0,0,2,56,0,0,0
0.981723,108,66,0,2,40,1,32,0
1.490573,108,132,0,2,40,2,64,0
0.00000,139,0,0,1,105,0,0,0
1.490579,108,132,0,2,40,2,64,0
0.00000,420,0,0,1,386,0,0,0
0.00000,114,0,0,1,80,0,0,0
0.981874,108,66,0,2,40,1,32,0
0.00000,425,0,0,1,391,0,0,0
0.00000,120,0,0,1,86,0,0,0
0.00000,68,0,0,1,34,0,0,0
10.001514,162,198,0,3,60,3,96,0
10.001514,162,198,0,3,60,3,96,0
0.982354,108,66,0,2,40,1,32,0
1.490066,108,132,0,2,40,2,64,0
0.00000,111,0,0,1,77,0,0,0
9.068418,186,0,0,3,84,0,0,0
15.032933,330,0,0,5,160,0,0,0
9.067376,186,0,0,3,84,0,0,0
15.032565,330,0,0,5,160,0,0,0
9.066798,186,0,0,3,84,0,0,0
8.003440,330,216,0,5,160,4,80,0
9.067175,186,0,0,3,84,0,0,0
8.002729,330,216,0,5,160,4,80,0
9.066441,186,0,0,3,84,0,0,0
15.031629,330,0,0,5,160,0,0,0
9.066579,186,0,0,3,84,0,0,0
15.031146,330,0,0,5,160,0,0,0
9.065777,186,0,0,3,84,0,0,0
15.030964,330,0,0,5,160,0,0,0
9.065868,186,0,0,3,84,0,0,0
15.030520,330,0,0,5,160,0,0,0
9.065303,186,0,0,3,84,0,0,0
15.030214,330,0,0,5,160,0,0,0
9.064941,186,0,0,3,84,0,0,0
8.001136,330,216,0,5,160,4,80,0
9.06479,186,0,0,3,84,0,0,0
15.030295,330,0,0,5,160,0,0,0
12.018139,198,0,0,3,96,0,0,0
12.018156,198,0,0,3,96,0,0,0
12.018139,198,0,0,3,96,0,0,0
12.018131,198,0,0,3,96,0,0,0
12.018131,198,0,0,3,96,0,0,0
12.018109,198,0,0,3,96,0,0,0
3.002561,108,54,0,2,40,1,20,0
6.365586,180,0,0,2,112,0,0,0
6.365117,180,0,0,2,112,0,0,0
8.894995,270,0,0,3,168,0,0,0
9.452713,458,0,0,5,288,0,0,0
6.364372,180,0,0,2,112,0,0,0
8.894712,270,0,0,3,168,0,0,0
0.000000,159,0,0,1,125,0,0,0
0.000000,159,0,0,1,125,0,0,0
0.000000,159,0,0,1,125,0,0,0
0.000000,159,0,0,1,125,0,0,0
12.020271,198,0,0,3,96,0,0,0
12.019858,198,0,0,3,96,0,0,0
12.020115,198,0,0,3,96,0,0,0
12.020112,198,0,0,3,96,0,0,0
12.020099,198,0,0,3,96,0,0,0
6.018474,124,0,0,2,56,0,0,0
12.020104,198,0,0,3,96,0,0,0
12.02011,198,0,0,3,96,0,0,0
12.02011,198,0,0,3,96,0,0,0
12.020113,198,0,0,3,96,0,0,0
6.018973,124,0,0,2,56,0,0,0
6.019048,124,0,0,2,56,0,0,0
6.019001,124,0,0,2,56,0,0,0
6.019164,124,0,0,2,56,0,0,0
6.019163,124,0,0,2,56,0,0,0
6.019018,124,0,0,2,56,0,0,0
12.018506,198,0,0,3,96,0,0,0
6.018934,124,0,0,2,56,0,0,0
6.018946,124,0,0,2,56,0,0,0
6.018899,124,0,0,2,56,0,0,0
6.01878,124,0,0,2,56,0,0,0
6.018746,124,0,0,2,56,0,0,0
6.018778,124,0,0,2,56,0,0,0
5.981962,180,0,0,2,112,0,0,0
5.981766,180,0,0,2,112,0,0,0
0.000000,62,0,0,1,28,0,0,0
12.082410,124,0,0,2,56,0,0,0
0.000000,62,0,0,1,28,0,0,0
0.000000,62,0,0,1,28,0,0,0
1.003771,159,364,0,1,125,1,330,0
0.000000,159,0,0,1,125,0,0,0
1.003460,159,327,0,1,125,1,293,0
1.003358,159,354,0,1,125,1,320,0
8.001201,132,0,0,2,64,0,0,0
0.428572,145,341,0,1,111,1,307,0
9.557476,124,0,0,2,56,0,0,0
0.460354,159,359,0,1,125,1,325,0
0.000000,159,0,0,1,125,0,0,0
0.000000,62,0,0,1,28,0,0,0
0.000000,62,0,0,1,28,0,0,0
0.000000,62,0,0,1,28,0,0,0
0.000000,62,0,0,1,28,0,0,0
0.000000,50,0,0,1,12,0,0,0
0.708379,55,66,0,1,21,1,32,0
0.000000,90,0,0,1,56,0,0,0
0.000000,187,0,0,1,153,0,0,0
8.000187,216,0,0,4,64,0,0,0
0.000094,54,54,0,1,20,1,20,0
0.000000,159,0,0,1,125,0,0,0
9.086256,186,0,0,3,84,0,0,0
7.031897,264,0,0,4,128,0,0,0
0.000000,159,0,0,1,125,0,0,0
0.000000,66,0,0,1,32,0,0,0
0.000000,66,0,0,1,32,0,0,0
0.000000,66,0,0,1,32,0,0,0
0.000000,187,0,0,1,153,0,0,0
0.000000,159,0,0,1,125,0,0,0
0.000000,159,0,0,1,125,0,0,0
0.088531,145,310,0,1,111,1,276,0
3.024747,198,0,0,3,96,0,0,0
3.103689,124,0,0,2,56,0,0,0
3.103514,124,0,0,2,56,0,0,0
4.550232,110,132,0,2,42,2,64,0
2.324042,180,0,0,2,112,0,0,0
0.000057,54,54,0,1,20,1,20,0
0.494099,159,350,0,1,125,1,316,0
0.559293,293,162,0,4,157,3,60,0
1.945465,510,324,0,8,238,6,120,0
0.515077,456,378,0,7,218,7,140,0
0.569746,213,166,0,3,111,2,98,0
0.000000,62,0,0,1,28,0,0,0
1.004678,132,0,0,2,64,0,0,0
0.082531,220,216,0,4,84,4,80,0
0.000000,284,0,0,1,250,0,0,0
0.000000,284,0,0,1,250,0,0,0
0.000000,286,0,0,1,252,0,0,0
0.000000,284,0,0,1,250,0,0,0
